":START_ID",":END_ID","relation","concepts","synsets",":TYPE"
"Clearance on module transport frame for RFID was questioned.","The clearance was potentially at risk.","because","['owing to', 'thanks to', 'as a result of', 'due to']","[]","Relation"
"The module transport frame for RFID should be okay.","Clearance was questioned on the module transport frame for RFID.","because","['owing to', 'thanks to', 'as a result of', 'due to']","[]","Relation"
"Craig and Ash will iterate to make sure everything fits together.","The clearance on module transport frame for RFID was questioned.","because","['owing to', 'thanks to', 'as a result of', 'due to']","[]","Relation"
"It could be tricky to keep track of all the diodes when placing the sensor/module in the frame.","The diodes need to be placed carefully in the frame.","because","['owing to', 'thanks to', 'as a result of', 'due to']","[]","Relation"
"Removing the diodes along one side or the other could be an option.","It could be tricky to keep track of all the diodes when placing the sensor/module in the frame.","because","['owing to', 'thanks to', 'as a result of', 'due to']","[]","Relation"
"Gerrit likes the security of all 4 sides.","He prefers to keep the diodes on all four sides of the frame.","because","['owing to', 'thanks to', 'as a result of', 'due to']","[]","Relation"
"The high voltage connector could be changed to be on a separate connector.","It could improve safety and compatibility.","because","['owing to', 'thanks to', 'as a result of', 'due to']","[]","Relation"
"The pros of keeping the single connector were discussed.","The high voltage connector could be changed to be on a separate connector.","because","['owing to', 'thanks to', 'as a result of', 'due to']","[]","Relation"
"The cons of keeping the single connector were discussed.","The high voltage connector could be changed to be on a separate connector.","because","['owing to', 'thanks to', 'as a result of', 'due to']","[]","Relation"
"Labels for the mini display port were provided on the transport frames.","Labels to be included on the PCB silk screen in case of running without transport frame in place.","at the same time","['happen together', 'coexist', 'overlap', 'coincide', 'synchronize']","[]","Relation"
"Ribbing was added to the barrel transport frame.","The injection moulding company optimised the ribbing.","before","['earlier', 'prior', 'precede', 'lead', 'precedes']","[]","Relation"
"Craig & Ingo gave an introduction for the meeting.","Craig","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"Craig & Ingo gave an introduction for the meeting.","Ingo","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"Satish discussed the DCDC coils.","Satish","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"The quantity of DCDC coils was evaluated.","EC","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"The quantity of DCDC coils was evaluated.","production management","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"Christian gave a status update on the powerboard test crate.","Christian","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"Sven discussed the barrel module frame and hybrid panel finalisation.","Sven","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"The high voltage connector for the barrel module frame and hybrid panel was discussed.","Sven","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"The high voltage connector for the barrel module frame and hybrid panel was discussed.","Craig","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"The high voltage connector for the barrel module frame and hybrid panel was discussed.","Ash","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"The high voltage connector for the barrel module frame and hybrid panel was discussed.","Gerrit","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"The mini display port labelling for the barrel module frame and hybrid panel was discussed.","Sven","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"The mini display port labelling for the barrel module frame and hybrid panel was discussed.","Craig","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"The mini display port labelling for the barrel module frame and hybrid panel was discussed.","Ash","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"The mini display port labelling for the barrel module frame and hybrid panel was discussed.","Gerrit","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"Gerrit discussed the barrel transport frame.","Gerrit","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"The ribbing on the barrel transport frame was optimised.","injection moulding company","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"The risk of yield numbers changing slightly was discussed.","Dennis","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"The risk of yield numbers changing slightly was discussed.","production management","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"The ATLAS performance specs were mentioned.","ATLAS","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"The quantity of samples for testing was discussed.","Satish","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"The quantity of samples for testing was discussed.","EC","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"The powerboard performance was discussed.","Satish","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"The QC boundaries for the DCDC coils were discussed.","Satish","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"The people listed as responsible will be contacted periodically.","Craig","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"The people listed as responsible will be contacted periodically.","Ingo","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"The action items for the meeting were listed.","Craig","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"The action items for the meeting were listed.","Ingo","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"Craig","transport frame","forgot","['forget', 'overlook', 'lose track', 'neglect', 'misremember']","[]","Relation"
"suction cups","assembly","help","['assist', 'relieve', 'aid', 'support', 'lend a hand']","[]","Relation"
"suction cups","surface","stick","['adhere', 'cling', 'stick', 'attach', 'join', 'bond']","[]","Relation"
"DI water","surface","makes","['create', 'manufactures', 'generates', 'produces']","[]","Relation"
"isoprop","surface","makes","['create', 'manufactures', 'generates', 'produces']","[]","Relation"
"humidity indicators","box","use","['employ', 'utilize', 'apply', 'adopt']","[]","Relation"
"dessicant","box","use","['employ', 'utilize', 'apply', 'adopt']","[]","Relation"
"BPOL v4","BPOL v5","consider","['think', 'ponder', 'regard', 'analyze', 'view']","[]","Relation"
"BPOL v4","preproduction","commit","['pledge', 'bind', 'promise', 'vow', 'obligate']","[]","Relation"
"BPOL v5","BPOL v4","validate","['authenticate', 'confirm', 'prove', 'verify', 'endorse']","[]","Relation"
"Craig","BPOL v4","speak","['utter', 'verbalize', 'express', 'communicate', 'enunciate']","[]","Relation"
"US","BPOL v4","agree","['comply', 'assent', 'concur', 'consent']","[]","Relation"
"Dennis","BPOL v4","care","['concern', 'protect', 'worry', 'nurture', 'look after']","[]","Relation"
"Sion Hongbo will discuss with them to see if we can optimise the ribbing a bit more to improve planarity","Suction cup “hole” dimensions to be updated (mistake by Craig)","because","['owing to', 'thanks to', 'as a result of', 'due to']","[]","Relation"
"Updated versions will be uploaded to EDMS for discussion","Suction cup “hole” dimensions to be updated (mistake by Craig)","after","['later', 'afterwards', 'next', 'afterward', 'follow']","[]","Relation"
"Will include discussion of specified suction cups","Updated versions will be uploaded to EDMS for discussion","at the same time","['happen together', 'coexist', 'overlap', 'coincide', 'synchronize']","[]","Relation"
"Assembly of box with threaded back-plane trickier without screw guidance, risk of sensor moving around whilst you are assembling","Craig forgot that when assembling the box the transport frame is already screwed in place!!","because","['owing to', 'thanks to', 'as a result of', 'due to']","[]","Relation"
"Generally seems to make the assembly nicer","Sticking suction cups","as a result","['yield', 'outcome', 'consequence', 'effect', 'result', 'lead', 'follow']","[]","Relation"
"Sticking suction cups","Smaller suction cups and correct sized holes do help","because","['owing to', 'thanks to', 'as a result of', 'due to']","[]","Relation"
"Need to investigate the other materials available","Sticking suction cups","because","['owing to', 'thanks to', 'as a result of', 'due to']","[]","Relation"
"From ITk week, don’t clean with isoprop, just DI water, seems isoprop makes surface stickier","Need to investigate the other materials available","at the same time","['happen together', 'coexist', 'overlap', 'coincide', 'synchronize']","[]","Relation"
"How do you use the humidity indicators and dessicant with this box, looks like bag volume and sensor volume connection can be blocked by vacuum sealing","From ITk week, don’t clean with isoprop, just DI water, seems isoprop makes surface stickier","at the same time","['happen together', 'coexist', 'overlap', 'coincide', 'synchronize']","[]","Relation"
"SCIPP looking at side pocket solution","How do you use the humidity indicators and dessicant with this box, looks like bag volume and sensor volume connection can be blocked by vacuum sealing","because","['owing to', 'thanks to', 'as a result of', 'due to']","[]","Relation"
"Also N2 flushed sealing rather than vacuum could be an option","How do you use the humidity indicators and dessicant with this box, looks like bag volume and sensor volume connection can be blocked by vacuum sealing","because","['owing to', 'thanks to', 'as a result of', 'due to']","[]","Relation"
"BPOL v4 vs. v5 (we previously committed to v4 for preproduction but could consider v5 if schedule does not change any more","Craig speaks in support of v4 for reasons of schedule risk and previous commitment","after","['later', 'afterwards', 'next', 'afterward', 'follow']","[]","Relation"
"Craig speaks in support of v4 for reasons of schedule risk and previous commitment","BPOL v4 vs. v5 (we previously committed to v4 for preproduction but could consider v5 if schedule does not change any more","because","['owing to', 'thanks to', 'as a result of', 'due to']","[]","Relation"
"US agrees with commitment to v4 and would keep baseline as v4 with a few v5 (100) for validation, Dennis doesn’t really care but is happy to stick to v4","Craig speaks in support of v4 for reasons of schedule risk and previous commitment","because","['owing to', 'thanks to', 'as a result of', 'due to']","[]","Relation"
"We will push back on review to stick with v4 for preproduction","US agrees with commitment to v4 and would keep baseline as v4 with a few v5 (100) for validation, Dennis doesn’t really care but is happy to stick to v4","because","['owing to', 'thanks to', 'as a result of', 'due to']","[]","Relation"
"There is risk to coupling preproduction to v5 schedule and we have already committed (deliberately) to v4","We will push back on review to stick with v4 for preproduction","because","['owing to', 'thanks to', 'as a result of', 'due to']","[]","Relation"
"Actions NONE","BPOL v4 vs. v5 (we previously committed to v4 for preproduction but could consider v5 if schedule does not change any more","before","['earlier', 'prior', 'precede', 'lead', 'precedes']","[]","Relation"
"sion Hongbo will discuss with them to see if we can optimise the ribbing a bit more to improve planarity","sion Hongbo","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"sion Hongbo will discuss with them to see if we can optimise the ribbing a bit more to improve planarity","them","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"Suction cup “hole” dimensions to be updated (mistake by Craig)","Craig","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"Updated versions will be uploaded to EDMS for discussion","Craig","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"Updated versions will be uploaded to EDMS for discussion","EDMS","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"Will include discussion of specified suction cups","Craig","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"Will include discussion of specified suction cups","suction cups","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"Assembly of box with threaded back-plane trickier without screw guidance, risk of sensor moving around whilst you are assembling","box","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"Assembly of box with threaded back-plane trickier without screw guidance, risk of sensor moving around whilst you are assembling","sensor","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"Assembly of box with threaded back-plane trickier without screw guidance, risk of sensor moving around whilst you are assembling","screw guidance","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"Craig forgot that when assembling the box the transport frame is already screwed in place!!","Craig","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"Craig forgot that when assembling the box the transport frame is already screwed in place!!","box","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"Craig forgot that when assembling the box the transport frame is already screwed in place!!","transport frame","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"Generally seems to make the assembly nicer","Craig","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"Sticking suction cups","suction cups","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"Smaller suction cups and correct sized holes do help","suction cups","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"Smaller suction cups and correct sized holes do help","holes","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"From ITk week, don’t clean with isoprop, just DI water, seems isoprop makes surface stickier","ITk week","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"From ITk week, don’t clean with isoprop, just DI water, seems isoprop makes surface stickier","isoprop","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"From ITk week, don’t clean with isoprop, just DI water, seems isoprop makes surface stickier","DI water","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"From ITk week, don’t clean with isoprop, just DI water, seems isoprop makes surface stickier","surface","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"How do you use the humidity indicators and dessicant with this box, looks like bag volume and sensor volume connection can be blocked by vacuum sealing","humidity indicators","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"How do you use the humidity indicators and dessicant with this box, looks like bag volume and sensor volume connection can be blocked by vacuum sealing","dessicant","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"How do you use the humidity indicators and dessicant with this box, looks like bag volume and sensor volume connection can be blocked by vacuum sealing","box","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"How do you use the humidity indicators and dessicant with this box, looks like bag volume and sensor volume connection can be blocked by vacuum sealing","bag volume","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"How do you use the humidity indicators and dessicant with this box, looks like bag volume and sensor volume connection can be blocked by vacuum sealing","sensor volume","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"How do you use the humidity indicators and dessicant with this box, looks like bag volume and sensor volume connection can be blocked by vacuum sealing","vacuum sealing","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"SCIPP looking at side pocket solution","SCIPP","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"SCIPP looking at side pocket solution","side pocket","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"Also N2 flushed sealing rather than vacuum could be an option","N2","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"Also N2 flushed sealing rather than vacuum could be an option","vacuum","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"Also N2 flushed sealing rather than vacuum could be an option","sealing","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"AoB - BPOL v4 vs. v5 (we previously committed to v4 for preproduction but could consider v5 if schedule does not change any more","AoB","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"AoB - BPOL v4 vs. v5 (we previously committed to v4 for preproduction but could consider v5 if schedule does not change any more","BPOL v4","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"AoB - BPOL v4 vs. v5 (we previously committed to v4 for preproduction but could consider v5 if schedule does not change any more","BPOL v5","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"AoB - BPOL v4 vs. v5 (we previously committed to v4 for preproduction but could consider v5 if schedule does not change any more","schedule","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"Craig speaks in support of v4 for reasons of schedule risk and previous commitment","Craig","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"Craig speaks in support of v4 for reasons of schedule risk and previous commitment","BPOL v4","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"Craig speaks in support of v4 for reasons of schedule risk and previous commitment","schedule","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"Craig speaks in support of v4 for reasons of schedule risk and previous commitment","previous commitment","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"US agrees with commitment to v4 and would keep baseline as v4 with a few v5 (100) for validation, Dennis doesn’t really care but is happy to stick to v4","US","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"US agrees with commitment to v4 and would keep baseline as v4 with a few v5 (100) for validation, Dennis doesn’t really care but is happy to stick to v4","BPOL v4","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"US agrees with commitment to v4 and would keep baseline as v4 with a few v5 (100) for validation, Dennis doesn’t really care but is happy to stick to v4","BPOL v5","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"US agrees with commitment to v4 and would keep baseline as v4 with a few v5 (100) for validation, Dennis doesn’t really care but is happy to stick to v4","Dennis","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"US agrees with commitment to v4 and would keep baseline as v4 with a few v5 (100) for validation, Dennis doesn’t really care but is happy to stick to v4","validation","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"We will push back on review to stick with v4 for preproduction","we","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"We will push back on review to stick with v4 for preproduction","BPOL v4","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"We will push back on review to stick with v4 for preproduction","preproduction","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"There is risk to coupling preproduction to v5 schedule and we have already committed (deliberately) to v4","preproduction","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"There is risk to coupling preproduction to v5 schedule and we have already committed (deliberately) to v4","BPOL v5","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"There is risk to coupling preproduction to v5 schedule and we have already committed (deliberately) to v4","schedule","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"There is risk to coupling preproduction to v5 schedule and we have already committed (deliberately) to v4","BPOL v4","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
