:START_ID,:END_ID,relation,concepts,synsets,:TYPE
Craig & Ingo suggested moving weighing and bonding to a later session.,Ingo,is participated by,[],[],Relation
Karola asked about the shipping box survey.,Karola,is participated by,[],[],Relation
Bart showed the prototype HV tab holder.,Bart,is participated by,[],[],Relation
Vitaliy commented on the usefulness of the HV tab holder.,Vitaliy,is participated by,[],[],Relation
Sven questioned the test coupon measurements.,Sven,is participated by,[],[],Relation
Sven clarified the ASIC lands on test coupons.,Sven,is participated by,[],[],Relation
Dennis confirmed the metal trace variability.,Dennis,is participated by,[],[],Relation
Kambiz was informed about the change proposal.,Kambiz,is participated by,[],[],Relation
Kambiz was informed about the change proposal.,Dennis,is participated by,[],[],Relation
Sarah & Kunlin discussed mechanical endcap hybrids.,Sarah,is participated by,[],[],Relation
Sarah & Kunlin discussed mechanical endcap hybrids.,Kunlin,is participated by,[],[],Relation
Sarah & Kunlin discussed mechanical endcap hybrids.,Dennis,is participated by,[],[],Relation
Dennis confirmed the core thickness.,Dennis,is participated by,[],[],Relation
Prague wanted to order more mechanical hybrids.,Prague,is participated by,[],[],Relation
Prague wanted to order more mechanical hybrids.,Karo,is participated by,[],[],Relation
Jane presented the UV and polaris epoxy temperature dependence.,Jane,is participated by,[],[],Relation
Jane commented on the stencil reliability.,Jane,is participated by,[],[],Relation
Dennis & Marc discussed the EC HV tab jig.,Dennis,is participated by,[],[],Relation
Dennis & Marc discussed the EC HV tab jig.,Marc,is participated by,[],[],Relation
Dennis suggested moving all EC Tabs to 5mm longer.,Dennis,is participated by,[],[],Relation
Forest added a talk about wire bonding.,Forest,is participated by,[],[],Relation
Craig & Ingo were responsible for emailing ITk week presenters and uploading to indico.,Craig,is participated by,[],[],Relation
Craig & Ingo were responsible for emailing ITk week presenters and uploading to indico.,Ingo,is participated by,[],[],Relation
"Timon, Carl, and Satish were responsible for writing the QC document for coils.",Timon,is participated by,[],[],Relation
"Timon, Carl, and Satish were responsible for writing the QC document for coils.",Carl,is participated by,[],[],Relation
"Timon, Carl, and Satish were responsible for writing the QC document for coils.",Satish,is participated by,[],[],Relation
Strip Module Meeting,actions,carried,[],[],Relation
HV tab bonding,update,expected,[],[],Relation
Hybrid crate roll-out,update,expected,[],[],Relation
Module thermal cycling roll-out,update,expected,[],[],Relation
Powerboard mass tester roll-out,update,expected,[],[],Relation
Barrel hybrid tendering,actions,carried,[],[],Relation
Barrel powerboard tendering,actions,carried,[],[],Relation
EC hybrid/powerboard tendering,actions,carried,[],[],Relation
EC tooling design/roll-out,update,expected,[],[],Relation
Barrel tooling design finalisation/roll-out,update,expected,[],[],Relation
DCDC coils,specs,defined,[],[],Relation
QC boundaries,powerboard performance,acceptable,[],[],Relation
powerboard performance,ATLAS performance specs,led,[],[],Relation
wire,specs,defined,[],[],Relation
samples,coils,tested,[],[],Relation
production,quantity,evaluated,[],[],Relation
quantity,"EC 10,000",evaluated,[],[],Relation
overhead,barrel,different,[],[],Relation
Barrel module frame,hybrid panel,finalised,[],[],Relation
module transport frame,clearance,okay,[],[],Relation
high voltage connector,single connector,kept,[],[],Relation
mini display port,labelling,labelled,[],[],Relation
ribbing,transport frame,added,[],[],Relation
injection moulding company,ribbing,optimised,[],[],Relation
The minutes of the Strip Module Meeting were taken on 11/02/20.,Actions were carried over at the meeting.,at the same time,[],[],Relation
Actions were carried over.,The responsible personnel were contacted periodically by Craig & Ingo for updates.,before,[],[],Relation
The responsible personnel were contacted periodically by Craig & Ingo for updates.,They were listed as responsible in the meeting.,because,[],[],Relation
The meeting was introduced by Craig & Ingo.,Nothing was reported from the introduction.,at the same time,[],[],Relation
Nothing was reported from the introduction.,Satish discussed the DCDC coils.,at the same time,[],[],Relation
Satish discussed the DCDC coils.,The QC boundaries of the coils were questioned from a powerboard performance point of view.,because,[],[],Relation
The QC boundaries of the coils were questioned from a powerboard performance point of view.,The specs defined for the coils were not led by ATLAS performance specs.,because,[],[],Relation
The specs defined for the coils were not led by ATLAS performance specs.,The specs were defined more by what is possible with available wire.,because,[],[],Relation
10 samples from each 1/50 of production were tested.,Satish questioned the QC boundaries of the coils.,because,[],[],Relation
500 coils in total were planned to be tested.,10 samples from each 1/50 of production were tested.,because,[],[],Relation
"The quantity of coils was evaluated by EC 10,000.",The risk of yield numbers changing slightly was considered.,because,[],[],Relation
"The quantity of coils was evaluated by EC 10,000.","16,000 for barrel makes sense to Dennis but looks like overhead is slightly different.",at the same time,[],[],Relation
"The quantity of coils was evaluated by EC 10,000.",The risk of yield numbers changing slightly is why typically PRR is the point that large numbers get bought.,at the same time,[],[],Relation
The risk of yield numbers changing slightly is why typically PRR is the point that large numbers get bought.,It is an understood risk to buy everything now.,because,[],[],Relation
The status of powerboard test crate was discussed.,The introduction by Craig & Ingo was completed.,after,[],[],Relation
The barrel module frame and hybrid panel finalisation was discussed.,Clearance on module transport frame for RFID was questioned.,at the same time,[],[],Relation
Clearance on module transport frame for RFID was questioned.,The clearance was potentially at risk.,because,[],[],Relation
The module transport frame for RFID should be okay.,Clearance was questioned on the module transport frame for RFID.,because,[],[],Relation
Craig and Ash will iterate to make sure everything fits together.,The clearance on module transport frame for RFID was questioned.,because,[],[],Relation
It could be tricky to keep track of all the diodes when placing the sensor/module in the frame.,The diodes need to be placed carefully in the frame.,because,[],[],Relation
Removing the diodes along one side or the other could be an option.,It could be tricky to keep track of all the diodes when placing the sensor/module in the frame.,because,[],[],Relation
Gerrit likes the security of all 4 sides.,He prefers to keep the diodes on all four sides of the frame.,because,[],[],Relation
The high voltage connector could be changed to be on a separate connector.,It could improve safety and compatibility.,because,[],[],Relation
The pros of keeping the single connector were discussed.,The high voltage connector could be changed to be on a separate connector.,because,[],[],Relation
The cons of keeping the single connector were discussed.,The high voltage connector could be changed to be on a separate connector.,because,[],[],Relation
Labels for the mini display port were provided on the transport frames.,Labels to be included on the PCB silk screen in case of running without transport frame in place.,at the same time,[],[],Relation
Ribbing was added to the barrel transport frame.,The injection moulding company optimised the ribbing.,before,[],[],Relation
Craig & Ingo gave an introduction for the meeting.,Craig,is participated by,[],[],Relation
Craig & Ingo gave an introduction for the meeting.,Ingo,is participated by,[],[],Relation
Satish discussed the DCDC coils.,Satish,is participated by,[],[],Relation
The quantity of DCDC coils was evaluated.,EC,is participated by,[],[],Relation
The quantity of DCDC coils was evaluated.,production management,is participated by,[],[],Relation
Christian gave a status update on the powerboard test crate.,Christian,is participated by,[],[],Relation
Sven discussed the barrel module frame and hybrid panel finalisation.,Sven,is participated by,[],[],Relation
The high voltage connector for the barrel module frame and hybrid panel was discussed.,Sven,is participated by,[],[],Relation
The high voltage connector for the barrel module frame and hybrid panel was discussed.,Craig,is participated by,[],[],Relation
The high voltage connector for the barrel module frame and hybrid panel was discussed.,Ash,is participated by,[],[],Relation
The high voltage connector for the barrel module frame and hybrid panel was discussed.,Gerrit,is participated by,[],[],Relation
The mini display port labelling for the barrel module frame and hybrid panel was discussed.,Sven,is participated by,[],[],Relation
The mini display port labelling for the barrel module frame and hybrid panel was discussed.,Craig,is participated by,[],[],Relation
The mini display port labelling for the barrel module frame and hybrid panel was discussed.,Ash,is participated by,[],[],Relation
The mini display port labelling for the barrel module frame and hybrid panel was discussed.,Gerrit,is participated by,[],[],Relation
Gerrit discussed the barrel transport frame.,Gerrit,is participated by,[],[],Relation
The ribbing on the barrel transport frame was optimised.,injection moulding company,is participated by,[],[],Relation
The risk of yield numbers changing slightly was discussed.,Dennis,is participated by,[],[],Relation
The risk of yield numbers changing slightly was discussed.,production management,is participated by,[],[],Relation
The ATLAS performance specs were mentioned.,ATLAS,is participated by,[],[],Relation
The quantity of samples for testing was discussed.,Satish,is participated by,[],[],Relation
The quantity of samples for testing was discussed.,EC,is participated by,[],[],Relation
The powerboard performance was discussed.,Satish,is participated by,[],[],Relation
The QC boundaries for the DCDC coils were discussed.,Satish,is participated by,[],[],Relation
The people listed as responsible will be contacted periodically.,Craig,is participated by,[],[],Relation
The people listed as responsible will be contacted periodically.,Ingo,is participated by,[],[],Relation
The action items for the meeting were listed.,Craig,is participated by,[],[],Relation
The action items for the meeting were listed.,Ingo,is participated by,[],[],Relation
Craig,transport frame,forgot,[],[],Relation
suction cups,assembly,help,[],[],Relation
suction cups,surface,stick,[],[],Relation
DI water,surface,makes,[],[],Relation
isoprop,surface,makes,[],[],Relation
humidity indicators,box,use,[],[],Relation
dessicant,box,use,[],[],Relation
BPOL v4,BPOL v5,consider,[],[],Relation
BPOL v4,preproduction,commit,[],[],Relation
BPOL v5,BPOL v4,validate,[],[],Relation
Craig,BPOL v4,speak,[],[],Relation
US,BPOL v4,agree,[],[],Relation
Dennis,BPOL v4,care,[],[],Relation
Sion Hongbo will discuss with them to see if we can optimise the ribbing a bit more to improve planarity,Suction cup “hole” dimensions to be updated (mistake by Craig),because,[],[],Relation
Updated versions will be uploaded to EDMS for discussion,Suction cup “hole” dimensions to be updated (mistake by Craig),after,[],[],Relation
Will include discussion of specified suction cups,Updated versions will be uploaded to EDMS for discussion,at the same time,[],[],Relation
"Assembly of box with threaded back-plane trickier without screw guidance, risk of sensor moving around whilst you are assembling",Craig forgot that when assembling the box the transport frame is already screwed in place!!,because,[],[],Relation
Generally seems to make the assembly nicer,Sticking suction cups,as a result,[],[],Relation
Sticking suction cups,Smaller suction cups and correct sized holes do help,because,[],[],Relation
Need to investigate the other materials available,Sticking suction cups,because,[],[],Relation
"From ITk week, don’t clean with isoprop, just DI water, seems isoprop makes surface stickier",Need to investigate the other materials available,at the same time,[],[],Relation
"How do you use the humidity indicators and dessicant with this box, looks like bag volume and sensor volume connection can be blocked by vacuum sealing","From ITk week, don’t clean with isoprop, just DI water, seems isoprop makes surface stickier",at the same time,[],[],Relation
SCIPP looking at side pocket solution,"How do you use the humidity indicators and dessicant with this box, looks like bag volume and sensor volume connection can be blocked by vacuum sealing",because,[],[],Relation
Also N2 flushed sealing rather than vacuum could be an option,"How do you use the humidity indicators and dessicant with this box, looks like bag volume and sensor volume connection can be blocked by vacuum sealing",because,[],[],Relation
BPOL v4 vs. v5 (we previously committed to v4 for preproduction but could consider v5 if schedule does not change any more,Craig speaks in support of v4 for reasons of schedule risk and previous commitment,after,[],[],Relation
Craig speaks in support of v4 for reasons of schedule risk and previous commitment,BPOL v4 vs. v5 (we previously committed to v4 for preproduction but could consider v5 if schedule does not change any more,because,[],[],Relation
"US agrees with commitment to v4 and would keep baseline as v4 with a few v5 (100) for validation, Dennis doesn’t really care but is happy to stick to v4",Craig speaks in support of v4 for reasons of schedule risk and previous commitment,because,[],[],Relation
We will push back on review to stick with v4 for preproduction,"US agrees with commitment to v4 and would keep baseline as v4 with a few v5 (100) for validation, Dennis doesn’t really care but is happy to stick to v4",because,[],[],Relation
There is risk to coupling preproduction to v5 schedule and we have already committed (deliberately) to v4,We will push back on review to stick with v4 for preproduction,because,[],[],Relation
Actions NONE,BPOL v4 vs. v5 (we previously committed to v4 for preproduction but could consider v5 if schedule does not change any more,before,[],[],Relation
sion Hongbo will discuss with them to see if we can optimise the ribbing a bit more to improve planarity,sion Hongbo,is participated by,[],[],Relation
sion Hongbo will discuss with them to see if we can optimise the ribbing a bit more to improve planarity,them,is participated by,[],[],Relation
Suction cup “hole” dimensions to be updated (mistake by Craig),Craig,is participated by,[],[],Relation
Updated versions will be uploaded to EDMS for discussion,Craig,is participated by,[],[],Relation
Updated versions will be uploaded to EDMS for discussion,EDMS,is participated by,[],[],Relation
Will include discussion of specified suction cups,Craig,is participated by,[],[],Relation
Will include discussion of specified suction cups,suction cups,is participated by,[],[],Relation
"Assembly of box with threaded back-plane trickier without screw guidance, risk of sensor moving around whilst you are assembling",box,is participated by,[],[],Relation
"Assembly of box with threaded back-plane trickier without screw guidance, risk of sensor moving around whilst you are assembling",sensor,is participated by,[],[],Relation
"Assembly of box with threaded back-plane trickier without screw guidance, risk of sensor moving around whilst you are assembling",screw guidance,is participated by,[],[],Relation
Craig forgot that when assembling the box the transport frame is already screwed in place!!,Craig,is participated by,[],[],Relation
Craig forgot that when assembling the box the transport frame is already screwed in place!!,box,is participated by,[],[],Relation
Craig forgot that when assembling the box the transport frame is already screwed in place!!,transport frame,is participated by,[],[],Relation
Generally seems to make the assembly nicer,Craig,is participated by,[],[],Relation
Sticking suction cups,suction cups,is participated by,[],[],Relation
Smaller suction cups and correct sized holes do help,suction cups,is participated by,[],[],Relation
Smaller suction cups and correct sized holes do help,holes,is participated by,[],[],Relation
"From ITk week, don’t clean with isoprop, just DI water, seems isoprop makes surface stickier",ITk week,is participated by,[],[],Relation
"From ITk week, don’t clean with isoprop, just DI water, seems isoprop makes surface stickier",isoprop,is participated by,[],[],Relation
"From ITk week, don’t clean with isoprop, just DI water, seems isoprop makes surface stickier",DI water,is participated by,[],[],Relation
"From ITk week, don’t clean with isoprop, just DI water, seems isoprop makes surface stickier",surface,is participated by,[],[],Relation
"How do you use the humidity indicators and dessicant with this box, looks like bag volume and sensor volume connection can be blocked by vacuum sealing",humidity indicators,is participated by,[],[],Relation
"How do you use the humidity indicators and dessicant with this box, looks like bag volume and sensor volume connection can be blocked by vacuum sealing",dessicant,is participated by,[],[],Relation
"How do you use the humidity indicators and dessicant with this box, looks like bag volume and sensor volume connection can be blocked by vacuum sealing",box,is participated by,[],[],Relation
"How do you use the humidity indicators and dessicant with this box, looks like bag volume and sensor volume connection can be blocked by vacuum sealing",bag volume,is participated by,[],[],Relation
"How do you use the humidity indicators and dessicant with this box, looks like bag volume and sensor volume connection can be blocked by vacuum sealing",sensor volume,is participated by,[],[],Relation
"How do you use the humidity indicators and dessicant with this box, looks like bag volume and sensor volume connection can be blocked by vacuum sealing",vacuum sealing,is participated by,[],[],Relation
SCIPP looking at side pocket solution,SCIPP,is participated by,[],[],Relation
SCIPP looking at side pocket solution,side pocket,is participated by,[],[],Relation
Also N2 flushed sealing rather than vacuum could be an option,N2,is participated by,[],[],Relation
Also N2 flushed sealing rather than vacuum could be an option,vacuum,is participated by,[],[],Relation
Also N2 flushed sealing rather than vacuum could be an option,sealing,is participated by,[],[],Relation
AoB - BPOL v4 vs. v5 (we previously committed to v4 for preproduction but could consider v5 if schedule does not change any more,AoB,is participated by,[],[],Relation
AoB - BPOL v4 vs. v5 (we previously committed to v4 for preproduction but could consider v5 if schedule does not change any more,BPOL v4,is participated by,[],[],Relation
AoB - BPOL v4 vs. v5 (we previously committed to v4 for preproduction but could consider v5 if schedule does not change any more,BPOL v5,is participated by,[],[],Relation
AoB - BPOL v4 vs. v5 (we previously committed to v4 for preproduction but could consider v5 if schedule does not change any more,schedule,is participated by,[],[],Relation
Craig speaks in support of v4 for reasons of schedule risk and previous commitment,Craig,is participated by,[],[],Relation
Craig speaks in support of v4 for reasons of schedule risk and previous commitment,BPOL v4,is participated by,[],[],Relation
Craig speaks in support of v4 for reasons of schedule risk and previous commitment,schedule,is participated by,[],[],Relation
Craig speaks in support of v4 for reasons of schedule risk and previous commitment,previous commitment,is participated by,[],[],Relation
"US agrees with commitment to v4 and would keep baseline as v4 with a few v5 (100) for validation, Dennis doesn’t really care but is happy to stick to v4",US,is participated by,[],[],Relation
"US agrees with commitment to v4 and would keep baseline as v4 with a few v5 (100) for validation, Dennis doesn’t really care but is happy to stick to v4",BPOL v4,is participated by,[],[],Relation
"US agrees with commitment to v4 and would keep baseline as v4 with a few v5 (100) for validation, Dennis doesn’t really care but is happy to stick to v4",BPOL v5,is participated by,[],[],Relation
"US agrees with commitment to v4 and would keep baseline as v4 with a few v5 (100) for validation, Dennis doesn’t really care but is happy to stick to v4",Dennis,is participated by,[],[],Relation
"US agrees with commitment to v4 and would keep baseline as v4 with a few v5 (100) for validation, Dennis doesn’t really care but is happy to stick to v4",validation,is participated by,[],[],Relation
We will push back on review to stick with v4 for preproduction,we,is participated by,[],[],Relation
We will push back on review to stick with v4 for preproduction,BPOL v4,is participated by,[],[],Relation
We will push back on review to stick with v4 for preproduction,preproduction,is participated by,[],[],Relation
There is risk to coupling preproduction to v5 schedule and we have already committed (deliberately) to v4,preproduction,is participated by,[],[],Relation
There is risk to coupling preproduction to v5 schedule and we have already committed (deliberately) to v4,BPOL v5,is participated by,[],[],Relation
There is risk to coupling preproduction to v5 schedule and we have already committed (deliberately) to v4,schedule,is participated by,[],[],Relation
There is risk to coupling preproduction to v5 schedule and we have already committed (deliberately) to v4,BPOL v4,is participated by,[],[],Relation
